00:00,10,57,16,133,2
00:40,16,66,3,288,2
01:20,66,99,17,330,4
02:00,36,21,9,323,4
02:05,40,44,20,108,8
02:10,95,71,16,102,4
02:15,7,42,2,186,8
02:20,127,92,12,299,24
02:25,10,43,5,168,8
02:30,60,99,2,68,24
02:35,72,38,1,149,2
02:40,136,76,1,283,2
02:45,139,24,2,49,1
02:50,121,52,1,85,24
02:55,27,61,1,377,4
03:00,92,94,1,121,2
03:05,16,97,1,28,24
03:10,24,54,1,85,24
03:15,136,81,1,103,8
03:20,86,13,1,172,2
03:25,52,87,1,183,8
03:30,24,11,1,377,24
03:35,53,88,1,161,4
03:40,52,58,1,183,2
03:45,44,19,1,27,8
03:50,76,67,1,41,4
04:00,5,43,26,135,4
04:12,4,51,5,8,1
04:24,5,76,25,159,4
04:36,50,68,26,389,4
04:48,127,81,2,208,4
05:00,36,52,11,336,8
05:12,32,54,5,353,8
05:24,46,19,2,182,4
05:36,35,21,2,157,8
05:48,90,19,5,57,24
06:00,135,50,39,233,4
06:08,65,88,29,53,1
06:16,75,67,20,223,4
06:24,144,26,8,293,4
06:32,20,99,7,342,1
06:40,104,96,3,215,4
06:48,130,6,2,351,1
06:56,11,76,1,101,1
07:04,72,37,1,136,2
07:12,135,62,1,128,1
07:20,22,73,1,383,2
07:28,60,18,1,303,1
07:36,27,40,1,363,24
07:44,1,98,1,268,24
08:00,117,22,10,341,1
08:05,18,91,16,212,24
08:10,55,28,11,152,8
08:15,30,86,5,25,4
08:20,37,95,3,3,1
08:25,3,92,1,274,2
08:30,8,23,2,264,1
08:35,49,15,1,203,2
08:40,46,8,1,149,24
08:45,62,12,1,388,8
08:50,62,40,1,348,24
08:55,63,26,1,301,4
09:00,121,40,1,323,2
09:05,93,54,1,315,24
09:10,127,41,1,104,8
09:15,125,86,1,100,4
09:20,140,15,1,282,2
09:25,48,97,1,324,1
09:30,76,74,1,272,8
09:35,24,71,1,153,24
09:40,60,52,1,371,4
09:45,139,30,1,182,2
09:50,51,33,1,127,8
10:00,86,76,25,161,1
10:24,111,67,1,307,8
10:48,43,21,3,93,8
11:12,8,69,10,207,8
11:36,88,52,29,210,2
12:00,134,20,27,323,24
12:04,3,59,7,129,24
12:08,77,56,16,174,2
12:12,124,45,2,44,2
12:16,90,75,11,72,24
12:20,139,76,2,235,2
12:24,128,55,5,73,8
12:28,144,81,1,146,8
12:32,83,9,2,284,4
12:36,112,52,2,323,4
12:40,64,21,3,207,8
12:44,58,11,3,68,8
12:48,130,15,1,351,8
12:52,140,6,1,275,24
12:56,144,23,1,388,1
13:00,120,42,1,339,4
13:04,137,5,1,370,2
13:08,28,85,1,201,8
13:12,15,88,1,72,24
13:16,119,73,1,253,24
